Keyword,Ad group,Campaign,Quality Score,Exp. CTR,Ad Relevance,Landing Page Exp.,Impressions,Clicks
phần mềm kế toán,Phần mềm - Core,Non-Brand - Core,7,Above average,Average,Above average,12400,842
mua phần mềm kế toán,Phần mềm - Mua,Non-Brand - Core,8,Above average,Above average,Above average,4200,380
phần mềm kế toán online,Phần mềm - Online,Non-Brand - Core,6,Average,Average,Average,3800,245
phần mềm quản lý doanh nghiệp,Quản lý,Non-Brand - Core,5,Average,Below average,Average,5600,234
kế toán doanh nghiệp nhỏ,SME,Non-Brand - Core,4,Below average,Average,Below average,2100,89
phần mềm hóa đơn điện tử,Hóa đơn,Product - Category A,3,Below average,Below average,Below average,1800,42
báo cáo tài chính tự động,Báo cáo,Product - Category A,6,Average,Average,Average,2400,156
kiểm soát hàng tồn kho,Kho,Product - Category B,5,Average,Below average,Average,3200,128
phần mềm bán hàng,Bán hàng,Product - Category B,4,Below average,Average,Below average,4800,168
quản lý nhân sự phần mềm,HR,Product - Category B,3,Below average,Below average,Below average,3600,82
phần mềm kế toán nhà hàng,Nhà hàng,Non-Brand - Core,7,Above average,Average,Above average,1200,108
phần mềm kế toán xây dựng,Xây dựng,Non-Brand - Core,8,Above average,Above average,Above average,980,98
dịch vụ kế toán thuê ngoài,Dịch vụ,Non-Brand - Core,6,Average,Average,Average,2800,196
phần mềm kế toán vnpt,Competitor,Non-Brand - Competitor,4,Average,Below average,Average,2400,144
phần mềm kế toán cloud,Cloud,Non-Brand - Core,9,Above average,Above average,Above average,1600,176
phần mềm erp doanh nghiệp,ERP,Product - Category B,5,Average,Average,Below average,2200,110
mua phần mềm crm,CRM,Product - Category B,6,Average,Above average,Average,1800,126
phần mềm kế toán cho startup,Startup,Non-Brand - Core,7,Above average,Average,Above average,960,86
kế toán thuế thu nhập,Thuế,Non-Brand - Core,3,Below average,Below average,Below average,4200,63
phần mềm quản lý kho,Kho hàng,Product - Category A,8,Above average,Above average,Above average,1400,140
phần mềm kế toán sản xuất,Sản xuất,Product - Category A,5,Average,Average,Below average,1100,77
phần mềm pos bán lẻ,POS,Product - Category A,6,Average,Average,Average,2600,182
phần mềm kế toán hộ kinh doanh,Hộ KD,Non-Brand - Core,4,Below average,Average,Below average,1900,76
báo cáo thuế tự động,Tax Report,Product - Category A,7,Above average,Average,Above average,1300,117
phần mềm kế toán dùng thử miễn phí,Free Trial,Non-Brand - Core,5,Average,Below average,Average,3400,136
